Iteration,Dataset,Alpha,Train_MSE,Validation_MSE,rsquared
1,Homes,32.0,6079.40310032189,6094.168914782152,0.2736646547314082
1,Private Rooms,0.0,3590.089153502597,3599.487875494206,0.13237888333864245
11,Homes,4.0,4809.68560323809,4999.8217538953495,0.3497228549263801
11,Private Rooms,64.0,3566.2332031205165,3597.7802099004803,0.13741612952513538
21,Homes,8.0,4799.366660346607,5026.543389376814,0.34590271714741727
21,Private Rooms,32.0,3538.491852211585,3591.0423656970625,0.13390514760250394
31,Homes,8.0,4702.678631296326,4948.402048610469,0.3664940937326461
31,Private Rooms,1.0,3301.5545164480727,3407.1529544011764,0.13764706247057334
41,Homes,8.0,4381.929030651283,4645.716853722277,0.39903679012604965
41,Private Rooms,1.0,3160.8627860641227,3284.616144945063,0.16562433774999596
51,Homes,8.0,4221.168378775885,4493.085357868242,0.4211350627367676
51,Private Rooms,0.5,3091.159526447397,3218.585192253717,0.1825783739734972
61,Homes,8.0,4209.95337434409,4487.348626557193,0.4235941108170791
61,Private Rooms,0.5,3084.9473325174367,3217.2003043381205,0.1835348839700801
71,Homes,8.0,4190.996652900481,4481.039220349203,0.4273843815409111
71,Private Rooms,1.0,3078.313215083116,3226.954876276515,0.18361545358136822
81,Homes,8.0,4149.641833051331,4443.605619749772,0.43022581821796635
81,Private Rooms,1.0,3050.2356787833505,3196.9738551308665,0.17781242660640706
91,Homes,8.0,4084.7981550234313,4390.073023214734,0.4354216546895884
91,Private Rooms,1.0,2897.1159207779297,3100.45281827945,0.16898071204856935
101,Homes,8.0,4070.67959084389,4378.614801403146,0.43728664219120683
101,Private Rooms,1.0,2074.783973606569,2345.8645511554564,0.6303807210797082
111,Homes,8.0,4031.866663044045,4348.519398946473,0.4419947312776442
111,Private Rooms,2.0,2014.2061306528035,2330.1197726969053,0.6266736458899149
121,Homes,8.0,4015.9271646917477,4339.784562286901,0.44338984536557735
121,Private Rooms,2.0,2012.4663398428806,2332.949706321722,0.6270518338033718
131,Homes,8.0,3917.6387557671615,4262.441837056652,0.44742225465022434
131,Private Rooms,2.0,1955.677156679736,2290.521093963621,0.6461550326689648
141,Homes,8.0,3857.0189866344017,4217.005065674761,0.44811695865102874
141,Private Rooms,4.0,1977.258080529626,2300.234130863741,0.6530014258788414
151,Homes,8.0,3856.2986791948338,4220.078912601845,0.4479305663075488
151,Private Rooms,4.0,1969.388517886498,2297.3229171260805,0.6548078313805181
161,Homes,8.0,3816.4321685460936,4192.365020551537,0.45354252746975277
161,Private Rooms,1.0,1852.4963709889878,2620.706363604977,0.6614503946940733
171,Homes,8.0,3814.1561525412085,4197.076868792974,0.45126734644460675
171,Private Rooms,2.0,1872.049786143174,2630.0605419908493,0.6665451762178423
181,Homes,8.0,3803.5484378683796,4199.113924115549,0.4499539025179319
181,Private Rooms,0.5,1748.80284007192,3476.518842136261,0.6673433337588244
191,Homes,8.0,3799.4187991965455,4202.007885508975,0.4475889864980279
191,Private Rooms,0.5,1746.4947151926517,3476.910038921468,0.6676146393515224
201,Homes,8.0,3764.4775952723357,4179.038714372616,0.443212500498955
201,Private Rooms,8.0,1806.5145838910855,3642.6168657131616,0.6873071699940232
211,Homes,8.0,3759.7166317596784,4181.510406028184,0.4415885039690437
211,Private Rooms,4.0,1715.2691802939873,3528.293092118922,0.6776670472887507
221,Homes,8.0,3748.80770059379,4188.843539488211,0.4430728451805809
221,Private Rooms,4.0,1708.0220160440945,3538.703532362672,0.6755451140334034
231,Homes,8.0,3726.0509455432984,4168.08067343002,0.4470698681701416
231,Private Rooms,8.0,1740.920762212631,3505.283001069053,0.6822666943456839
241,Homes,16.0,3778.766920706312,4163.586610484049,0.4494781335098146
241,Private Rooms,4.0,1659.9941571662137,3497.1578715901524,0.6783309777944989
